time,Longitude,Latitude,Speed (km/h)
02/10/2024 11:24,-2.436337,51.376588,3.8
02/10/2024 11:24,-2.436338,51.376578,3.9
02/10/2024 11:24,-2.436339,51.376568,4
02/10/2024 11:24,-2.436338,51.376558,4.1
02/10/2024 11:24,-2.436342,51.376547,4.7
02/10/2024 11:24,-2.436348,51.376537,4
02/10/2024 11:24,-2.436351,51.376528,3.9
02/10/2024 11:24,-2.436354,51.376519,3.7
02/10/2024 11:24,-2.436357,51.376509,3.9
02/10/2024 11:24,-2.436363,51.376499,4.2
02/10/2024 11:24,-2.436365,51.376488,4.3
02/10/2024 11:24,-2.436369,51.376478,4.2
02/10/2024 11:24,-2.436367,51.376467,4.6
02/10/2024 11:24,-2.436366,51.376455,4.6
02/10/2024 11:24,-2.436368,51.376443,5.1
02/10/2024 11:24,-2.436369,51.376431,4.5
02/10/2024 11:24,-2.436373,51.376421,4.1
02/10/2024 11:24,-2.436376,51.37641,4.5
02/10/2024 11:24,-2.436377,51.376399,4.4
02/10/2024 11:24,-2.436377,51.376388,4.3
02/10/2024 11:24,-2.436378,51.376378,4.1
02/10/2024 11:24,-2.436377,51.376367,4.3
02/10/2024 11:24,-2.436377,51.376356,4.6
02/10/2024 11:24,-2.436383,51.376344,5.2
02/10/2024 11:24,-2.436389,51.376333,4.6
02/10/2024 11:24,-2.436389,51.376321,4.7
02/10/2024 11:24,-2.436393,51.37631,4.5
02/10/2024 11:24,-2.436397,51.376299,4.5
02/10/2024 11:24,-2.436401,51.376288,4.5
02/10/2024 11:24,-2.436405,51.376277,4.5
02/10/2024 11:24,-2.436411,51.376266,4.7
02/10/2024 11:24,-2.436416,51.376255,4.7
02/10/2024 11:24,-2.436421,51.376243,4.6
02/10/2024 11:24,-2.436426,51.376232,4.7
02/10/2024 11:24,-2.436431,51.376221,4.5
02/10/2024 11:24,-2.436439,51.376209,5.2
02/10/2024 11:24,-2.436448,51.376197,5.5
02/10/2024 11:24,-2.436456,51.376186,4.7
02/10/2024 11:24,-2.436462,51.376174,5.2
02/10/2024 11:24,-2.436472,51.376162,5.6
02/10/2024 11:24,-2.436479,51.376151,4.5
02/10/2024 11:24,-2.436485,51.376141,4.4
02/10/2024 11:24,-2.436491,51.37613,4.6
02/10/2024 11:24,-2.436504,51.376115,6.7
02/10/2024 11:24,-2.436514,51.376102,6
02/10/2024 11:24,-2.436523,51.376089,5.6
02/10/2024 11:24,-2.436532,51.376078,4.9
02/10/2024 11:24,-2.43654,51.376068,4.5
02/10/2024 11:24,-2.436548,51.376059,4.1
02/10/2024 11:24,-2.436557,51.37605,4.2
02/10/2024 11:24,-2.436568,51.376041,4.5
02/10/2024 11:24,-2.436578,51.376033,4.2
02/10/2024 11:24,-2.436588,51.376025,4
02/10/2024 11:24,-2.436592,51.376016,3.7
02/10/2024 11:25,-2.436593,51.376005,4.3
02/10/2024 11:25,-2.436593,51.375994,4.6
02/10/2024 11:25,-2.436597,51.375984,4.2
02/10/2024 11:25,-2.436604,51.375975,4
02/10/2024 11:25,-2.436615,51.375967,4.1
02/10/2024 11:25,-2.436636,51.375969,5.5
02/10/2024 11:25,-2.436645,51.375987,7.5
02/10/2024 11:25,-2.436637,51.376001,5.8
02/10/2024 11:25,-2.436627,51.376012,5.3
02/10/2024 11:25,-2.436625,51.376024,4.7
02/10/2024 11:25,-2.436635,51.376032,3.9
02/10/2024 11:25,-2.436648,51.376037,3.9
02/10/2024 11:25,-2.436662,51.376043,4.1
02/10/2024 11:25,-2.436677,51.376046,4.1
02/10/2024 11:25,-2.436693,51.37605,4.3
02/10/2024 11:25,-2.436708,51.376056,4.3
02/10/2024 11:25,-2.436723,51.376058,4
02/10/2024 11:25,-2.436741,51.376061,4.4
02/10/2024 11:25,-2.436759,51.376062,4.5
02/10/2024 11:25,-2.436775,51.376064,4.2
02/10/2024 11:25,-2.436792,51.376065,4.2
02/10/2024 11:25,-2.436809,51.376068,4.3
02/10/2024 11:25,-2.436826,51.37607,4.3
02/10/2024 11:25,-2.436841,51.376073,4
02/10/2024 11:25,-2.436857,51.376075,4.1
02/10/2024 11:25,-2.43687,51.376083,4.5
02/10/2024 11:25,-2.436885,51.376087,4.3
02/10/2024 11:25,-2.436903,51.376087,4.4
02/10/2024 11:25,-2.436918,51.376095,4.8
02/10/2024 11:25,-2.436926,51.376101,3.2
02/10/2024 11:25,-2.436927,51.37611,3.8
02/10/2024 11:25,-2.436921,51.376117,3
02/10/2024 11:25,-2.436919,51.376115,0.8
02/10/2024 11:25,-2.436919,51.376115,0.3
02/10/2024 11:25,-2.436919,51.376114,0
02/10/2024 11:25,-2.436918,51.376111,1.4
02/10/2024 11:25,-2.436921,51.376112,0.8
02/10/2024 11:25,-2.436927,51.376111,1.4
02/10/2024 11:25,-2.436937,51.376108,2.7
02/10/2024 11:25,-2.436954,51.3761,5.3
02/10/2024 11:25,-2.436972,51.376095,5.1
02/10/2024 11:25,-2.436993,51.376096,5.2
02/10/2024 11:25,-2.437009,51.376097,4
02/10/2024 11:25,-2.437025,51.3761,4.3
02/10/2024 11:25,-2.437041,51.376104,4.1
02/10/2024 11:25,-2.437055,51.376109,4
02/10/2024 11:25,-2.437076,51.376111,5.3
02/10/2024 11:25,-2.437095,51.376116,5.2
02/10/2024 11:25,-2.437111,51.376119,4.2
02/10/2024 11:25,-2.437126,51.376126,4.8
02/10/2024 11:25,-2.437143,51.37613,4.5
02/10/2024 11:25,-2.43716,51.376135,4.7
02/10/2024 11:25,-2.437179,51.376138,4.8
02/10/2024 11:25,-2.4372,51.376137,5.4
02/10/2024 11:25,-2.437221,51.376131,5.9
02/10/2024 11:25,-2.437239,51.376126,4.9
02/10/2024 11:25,-2.437259,51.376128,5
02/10/2024 11:25,-2.437277,51.37613,4.6
02/10/2024 11:25,-2.437296,51.376131,4.8
02/10/2024 11:25,-2.437316,51.376133,5
02/10/2024 11:26,-2.437333,51.376136,4.5
02/10/2024 11:26,-2.437351,51.376137,4.4
02/10/2024 11:26,-2.437367,51.376142,4.7
02/10/2024 11:26,-2.437386,51.37615,5.7
02/10/2024 11:26,-2.437405,51.376157,5.6
02/10/2024 11:26,-2.437421,51.376166,5.2
02/10/2024 11:26,-2.437438,51.376176,6
02/10/2024 11:26,-2.437453,51.376185,5.2
02/10/2024 11:26,-2.437474,51.376192,5.9
02/10/2024 11:26,-2.437491,51.3762,5.3
02/10/2024 11:26,-2.437507,51.376207,4.8
02/10/2024 11:26,-2.437524,51.376214,5.1
02/10/2024 11:26,-2.437545,51.376218,5.4
02/10/2024 11:26,-2.437561,51.376226,5.4
02/10/2024 11:26,-2.437575,51.376236,5.1
02/10/2024 11:26,-2.437581,51.376251,6.2
02/10/2024 11:26,-2.437589,51.376264,5.8
02/10/2024 11:26,-2.437597,51.376279,6.2
02/10/2024 11:26,-2.437606,51.376293,6.1
02/10/2024 11:26,-2.437614,51.376306,5.7
02/10/2024 11:26,-2.437624,51.376318,5.3
02/10/2024 11:26,-2.437637,51.376329,5.5
02/10/2024 11:26,-2.43765,51.376337,4.5
02/10/2024 11:26,-2.43766,51.376349,5.4
02/10/2024 11:26,-2.437658,51.376364,6
02/10/2024 11:26,-2.437664,51.376375,5
02/10/2024 11:26,-2.437672,51.376389,6
02/10/2024 11:26,-2.437689,51.376401,6.4
02/10/2024 11:26,-2.437707,51.376409,5.3
02/10/2024 11:26,-2.437724,51.376418,5.8
02/10/2024 11:26,-2.437733,51.376426,3.6
02/10/2024 11:26,-2.43774,51.376438,5.1
02/10/2024 11:26,-2.437748,51.376447,4.4
02/10/2024 11:26,-2.437753,51.376461,5.5
02/10/2024 11:26,-2.437761,51.376472,5
02/10/2024 11:26,-2.437774,51.376479,4.2
02/10/2024 11:26,-2.437784,51.376487,4.1
02/10/2024 11:26,-2.437794,51.376499,5.5
