Date,Longitude,Latitude,Speed (km/h)
09/10/2024 12:44,-2.43662,51.377099,5.5
09/10/2024 12:44,-2.436608,51.377085,6.5
09/10/2024 12:44,-2.436603,51.377072,5.2
09/10/2024 12:44,-2.436617,51.377081,4.9
09/10/2024 12:44,-2.436604,51.377094,5.9
09/10/2024 12:44,-2.436588,51.377103,5.4
09/10/2024 12:44,-2.436575,51.377115,5.8
09/10/2024 12:44,-2.436562,51.377124,5
09/10/2024 12:44,-2.436551,51.377131,3.7
09/10/2024 12:44,-2.436542,51.377132,2.3
09/10/2024 12:44,-2.436533,51.37713,2.5
09/10/2024 12:44,-2.436519,51.377127,3.7
09/10/2024 12:44,-2.436506,51.377123,3.7
09/10/2024 12:44,-2.436491,51.377119,3.9
09/10/2024 12:44,-2.436484,51.377118,1.8
09/10/2024 12:44,-2.436473,51.377117,2.7
09/10/2024 12:44,-2.436459,51.377115,3.8
09/10/2024 12:44,-2.436445,51.37711,3.9
09/10/2024 12:44,-2.436431,51.377105,4
09/10/2024 12:44,-2.43642,51.377098,4.1
09/10/2024 12:44,-2.436405,51.377091,4.5
09/10/2024 12:44,-2.436394,51.377084,3.8
09/10/2024 12:44,-2.436383,51.377075,4.6
09/10/2024 12:44,-2.436376,51.377065,4.3
09/10/2024 12:44,-2.436371,51.377055,4.2
09/10/2024 12:44,-2.436366,51.377045,4.3
09/10/2024 12:44,-2.436362,51.377037,3.5
09/10/2024 12:44,-2.436358,51.377027,4.2
09/10/2024 12:44,-2.436352,51.377014,5
09/10/2024 12:44,-2.436345,51.377003,4.9
09/10/2024 12:44,-2.436339,51.376992,4.6
09/10/2024 12:44,-2.436333,51.376981,4.7
09/10/2024 12:44,-2.436325,51.37697,4.8
09/10/2024 12:44,-2.436323,51.376961,3.8
09/10/2024 12:44,-2.436321,51.376952,3.6
09/10/2024 12:44,-2.436323,51.376943,3.6
09/10/2024 12:44,-2.436324,51.376931,4.5
09/10/2024 12:44,-2.436325,51.376922,3.6
09/10/2024 12:45,-2.436326,51.376913,3.7
09/10/2024 12:45,-2.436328,51.376903,4.1
09/10/2024 12:45,-2.436332,51.376894,4
09/10/2024 12:45,-2.436336,51.376883,4.3
09/10/2024 12:45,-2.436337,51.376873,4.1
09/10/2024 12:45,-2.436342,51.37686,5.2
09/10/2024 12:45,-2.436345,51.376848,5.1
09/10/2024 12:45,-2.436348,51.376834,5.3
09/10/2024 12:45,-2.436348,51.376821,5.4
09/10/2024 12:45,-2.436348,51.376809,4.6
09/10/2024 12:45,-2.436349,51.376797,4.8
09/10/2024 12:45,-2.436348,51.376787,4.2
09/10/2024 12:45,-2.436347,51.376776,4.5
09/10/2024 12:45,-2.436356,51.376761,6.5
09/10/2024 12:45,-2.436357,51.376751,4
09/10/2024 12:45,-2.436363,51.376735,6.7
09/10/2024 12:45,-2.436367,51.37672,6
09/10/2024 12:45,-2.436367,51.376709,4.3
09/10/2024 12:45,-2.436365,51.376696,5.1
09/10/2024 12:45,-2.43636,51.376686,4.4
09/10/2024 12:45,-2.436355,51.376676,4.1
09/10/2024 12:45,-2.43635,51.376667,4
09/10/2024 12:45,-2.436337,51.376664,3.5
09/10/2024 12:45,-2.436331,51.376657,3.2
09/10/2024 12:45,-2.436327,51.376649,3.1
09/10/2024 12:45,-2.436325,51.376643,2.4
09/10/2024 12:45,-2.436327,51.376638,2.2
09/10/2024 12:45,-2.436331,51.376635,1.7
09/10/2024 12:45,-2.436337,51.376632,2
09/10/2024 12:45,-2.436343,51.376628,2.1
09/10/2024 12:45,-2.43635,51.376623,2.6
09/10/2024 12:45,-2.436359,51.376615,3.9
09/10/2024 12:45,-2.436361,51.376608,3
09/10/2024 12:45,-2.436365,51.376601,3.1
09/10/2024 12:45,-2.436369,51.376592,3.6
09/10/2024 12:45,-2.436369,51.376584,3.2
09/10/2024 12:45,-2.43637,51.376574,4.1
09/10/2024 12:45,-2.436375,51.376563,4.4
09/10/2024 12:45,-2.436377,51.376556,2.9
09/10/2024 12:45,-2.436382,51.37655,2.7
09/10/2024 12:45,-2.436387,51.376543,3.2
09/10/2024 12:45,-2.436393,51.376537,3
09/10/2024 12:45,-2.436397,51.376524,5.1
09/10/2024 12:45,-2.436396,51.376507,6.9
09/10/2024 12:45,-2.436398,51.376499,3
09/10/2024 12:45,-2.436399,51.376491,3.5
09/10/2024 12:45,-2.436402,51.37648,4.1
09/10/2024 12:45,-2.436406,51.37647,4.2
09/10/2024 12:45,-2.436383,51.376457,7.8
09/10/2024 12:45,-2.436374,51.376443,6.1
09/10/2024 12:45,-2.436371,51.37643,5.5
09/10/2024 12:45,-2.436372,51.376415,6
09/10/2024 12:45,-2.436376,51.376402,5
09/10/2024 12:45,-2.436384,51.376378,9.8
09/10/2024 12:45,-2.436391,51.376359,7.7
09/10/2024 12:45,-2.436394,51.376341,7.3
09/10/2024 12:45,-2.4364,51.376328,5.4
09/10/2024 12:45,-2.436404,51.376316,5.1
09/10/2024 12:45,-2.436408,51.376305,4.3
09/10/2024 12:45,-2.436413,51.376292,5.6
09/10/2024 12:46,-2.436418,51.376279,5.4
09/10/2024 12:46,-2.436424,51.376265,5.6
09/10/2024 12:46,-2.43643,51.376254,4.7
09/10/2024 12:46,-2.436438,51.376242,5.3
09/10/2024 12:46,-2.436446,51.376228,6
09/10/2024 12:46,-2.436453,51.376216,5
09/10/2024 12:46,-2.436461,51.376201,6.2
09/10/2024 12:46,-2.436469,51.376188,5.5
09/10/2024 12:46,-2.436477,51.376176,5.1
09/10/2024 12:46,-2.436483,51.376163,5.4
09/10/2024 12:46,-2.436489,51.37615,5.6
09/10/2024 12:46,-2.436499,51.376138,5.5
09/10/2024 12:46,-2.436504,51.376125,5.1
09/10/2024 12:46,-2.43651,51.376114,4.9
09/10/2024 12:46,-2.436515,51.376103,4.5
09/10/2024 12:46,-2.43652,51.376092,4.5
09/10/2024 12:46,-2.436529,51.376085,3.7
09/10/2024 12:46,-2.436539,51.376076,4.4
09/10/2024 12:46,-2.436547,51.376068,3.8
