time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-16 09:29:09,51.480125,-2.473442,112,0,0,3
2024-10-16 09:29:10,51.479877,-2.473618,111.9,107.9,0.03,3
2024-10-16 09:29:11,51.47964,-2.473793,111.9,104.7,0.059,3
2024-10-16 09:29:12,51.479404,-2.473971,111.8,104.1,0.088,3
2024-10-16 09:29:13,51.479164,-2.474157,111.5,106.4,0.118,3
2024-10-16 09:29:14,51.478928,-2.474344,111.5,105.5,0.147,3
2024-10-16 09:29:15,51.47869,-2.474538,111.3,106.4,0.176,3
2024-10-16 09:29:16,51.478443,-2.474745,111.2,111.5,0.207,3
2024-10-16 09:29:17,51.478214,-2.474943,111,104.7,0.236,3
2024-10-16 09:29:18,51.477974,-2.475155,110.9,110.2,0.267,3
2024-10-16 09:29:19,51.477734,-2.475371,110.7,109.7,0.298,3
2024-10-16 09:29:20,51.477497,-2.475594,110.5,110.4,0.328,3
2024-10-16 09:29:21,51.477257,-2.475823,110.3,111.6,0.359,3
2024-10-16 09:29:22,51.47702,-2.476051,110.4,110.3,0.39,3
2024-10-16 09:29:23,51.476788,-2.476283,110.4,109.4,0.42,3
2024-10-16 09:29:24,51.476555,-2.476519,110.6,110,0.451,3
2024-10-16 09:29:25,51.47633,-2.476754,110.5,108.5,0.481,3
2024-10-16 09:29:26,51.476097,-2.476992,110.3,109.6,0.511,3
2024-10-16 09:29:27,51.475872,-2.477229,110.1,107.8,0.541,3
2024-10-16 09:29:28,51.475655,-2.477459,110.2,104.4,0.57,3
2024-10-16 09:29:29,51.475426,-2.4777,110.1,110.2,0.601,3
2024-10-16 09:29:30,51.4752,-2.477933,109.8,106.5,0.631,3
2024-10-16 09:29:31,51.474976,-2.478167,109.7,107.1,0.66,3
2024-10-16 09:29:32,51.47475,-2.478405,109.6,108.8,0.69,3
2024-10-16 09:29:33,51.474537,-2.478627,109.4,101.8,0.719,3
2024-10-16 09:29:34,51.474316,-2.478858,109.5,105.6,0.748,3
2024-10-16 09:29:35,51.474094,-2.479086,109.4,104.3,0.777,3
2024-10-16 09:29:36,51.473885,-2.479307,109.3,101.4,0.805,3
2024-10-16 09:29:37,51.47366,-2.47954,109.2,106.4,0.835,3
2024-10-16 09:29:38,51.47345,-2.479764,109,101.7,0.863,3
2024-10-16 09:29:39,51.47324,-2.479986,108.9,100.2,0.891,3
2024-10-16 09:29:40,51.47304,-2.480206,108.8,97.1,0.918,3
2024-10-16 09:29:41,51.472843,-2.480427,108.6,95.8,0.944,3
2024-10-16 09:29:42,51.472656,-2.480643,108.4,92.6,0.97,3
2024-10-16 09:29:43,51.47247,-2.480856,108.4,90.9,0.995,3
2024-10-16 09:29:44,51.472298,-2.481061,108.3,86.3,1.019,3
2024-10-16 09:29:45,51.472126,-2.481267,108,86,1.043,3
2024-10-16 09:29:46,51.471966,-2.481455,107.9,78.8,1.065,3
