time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-17 08:25:52,51.50939,-2.562755,106.5,0,0,3
2024-10-17 08:25:53,51.509403,-2.562696,106.2,15.6,0.004,3
2024-10-17 08:25:54,51.509415,-2.56263,106.2,16.9,0.009,3
2024-10-17 08:25:55,51.509422,-2.562561,106.4,17.6,0.014,3
2024-10-17 08:25:56,51.509426,-2.56248,106.4,20.2,0.02,3
2024-10-17 08:25:57,51.509422,-2.562377,106.3,25.6,0.027,3
2024-10-17 08:25:58,51.50942,-2.562272,106.3,26.2,0.034,3
2024-10-17 08:25:59,51.509415,-2.562176,106,24,0.041,3
2024-10-17 08:26:00,51.509415,-2.562098,106,19.4,0.046,3
2024-10-17 08:26:01,51.50941,-2.562037,105.9,15.2,0.05,3
2024-10-17 08:26:02,51.50941,-2.561986,105.8,12.8,0.054,3
2024-10-17 08:26:03,51.509407,-2.561936,105.9,12.5,0.057,3
2024-10-17 08:26:04,51.509377,-2.561887,105.8,16.5,0.062,3
2024-10-17 08:26:05,51.509323,-2.561862,106,22.1,0.068,3
2024-10-17 08:26:06,51.50926,-2.561857,106.2,26.7,0.075,3
2024-10-17 08:26:07,51.509186,-2.561861,106.1,28.7,0.083,3
2024-10-17 08:26:08,51.509113,-2.561859,106.2,29,0.091,3
2024-10-17 08:26:09,51.50904,-2.56186,106.2,30,0.1,3
2024-10-17 08:26:10,51.50897,-2.561854,106.2,28.8,0.108,3
2024-10-17 08:26:11,51.508904,-2.561869,106.3,26.5,0.115,3
2024-10-17 08:26:12,51.50884,-2.561923,106.3,28.2,0.123,3
2024-10-17 08:26:13,51.50879,-2.562003,106,29,0.131,3
2024-10-17 08:26:14,51.508755,-2.562112,106.1,30.2,0.139,3
2024-10-17 08:26:15,51.508743,-2.562249,106.3,34.6,0.149,3
2024-10-17 08:26:16,51.508747,-2.5624,106.2,37.5,0.159,3
2024-10-17 08:26:17,51.508747,-2.562544,106.2,36,0.169,3
2024-10-17 08:26:18,51.508747,-2.562669,106.4,31,0.178,3
2024-10-17 08:26:19,51.50874,-2.562762,106.3,23.4,0.185,3
2024-10-17 08:26:20,51.508736,-2.562826,106,15.9,0.189,3
2024-10-17 08:26:21,51.508736,-2.562857,105.9,7.9,0.191,3
2024-10-17 08:26:22,51.50873,-2.562862,106,1.3,0.191,3
2024-10-17 08:26:23,51.508736,-2.562862,106,0.5,0.192,3
2024-10-17 08:26:24,51.508736,-2.562864,106.1,0.5,0.192,3
2024-10-17 08:26:25,51.508736,-2.562866,106.3,0.5,0.192,3
2024-10-17 08:26:26,51.508736,-2.562865,106.4,0,0.192,3
2024-10-17 08:26:27,51.508736,-2.562865,106.6,0,0.192,3
2024-10-17 08:26:28,51.50874,-2.562865,106.8,0,0.192,3
2024-10-17 08:26:29,51.50874,-2.562865,106.9,0,0.192,3
2024-10-17 08:26:30,51.50874,-2.562865,107,0,0.192,3
2024-10-17 08:26:31,51.50874,-2.562866,107,0,0.192,3
2024-10-17 08:26:32,51.50874,-2.562866,107,0,0.192,3
2024-10-17 08:26:33,51.50874,-2.562866,107,0,0.192,3
2024-10-17 08:26:34,51.50874,-2.562866,107.1,0,0.192,3
2024-10-17 08:26:35,51.50874,-2.562866,107.1,0,0.192,3
2024-10-17 08:26:36,51.50874,-2.562867,107.1,0,0.192,3
2024-10-17 08:26:37,51.508736,-2.562878,107,3,0.193,3
2024-10-17 08:26:38,51.50873,-2.562903,107.2,6.3,0.194,3
2024-10-17 08:26:39,51.508728,-2.562928,107.3,6.4,0.196,3
2024-10-17 08:26:40,51.508724,-2.562947,107.6,5.3,0.198,3
2024-10-17 08:26:41,51.508717,-2.562959,107.7,3.7,0.199,3
2024-10-17 08:26:42,51.508713,-2.562965,108.1,1.9,0.199,3
2024-10-17 08:26:43,51.508713,-2.56296,108.2,1.6,0.2,3
2024-10-17 08:26:44,51.50871,-2.562959,108.3,0.6,0.2,3
2024-10-17 08:26:45,51.50871,-2.562964,108.4,1.4,0.2,3
2024-10-17 08:26:46,51.50871,-2.562966,108.4,0.5,0.2,3
2024-10-17 08:26:47,51.508705,-2.56297,108.3,1.3,0.201,3
2024-10-17 08:26:48,51.5087,-2.562982,108.3,3.7,0.202,3
2024-10-17 08:26:49,51.508682,-2.562995,108.3,7.5,0.204,3
2024-10-17 08:26:50,51.508656,-2.562995,107.9,11.7,0.207,3
2024-10-17 08:26:51,51.508617,-2.562985,107.8,15,0.211,3
2024-10-17 08:26:52,51.508595,-2.562978,107.7,9.7,0.214,3
2024-10-17 08:26:53,51.508587,-2.562975,107.8,3.1,0.215,3
2024-10-17 08:26:54,51.508587,-2.562973,107.9,0.6,0.215,3
2024-10-17 08:26:55,51.50859,-2.562967,108.1,1.8,0.216,3
2024-10-17 08:26:56,51.50859,-2.562964,108.3,1,0.216,3
2024-10-17 08:26:57,51.50859,-2.562962,108.5,0.3,0.216,3
2024-10-17 08:26:58,51.50859,-2.562961,108.6,0,0.216,3
2024-10-17 08:26:59,51.50859,-2.562961,108.6,0,0.216,3
2024-10-17 08:27:00,51.50859,-2.56296,108.6,0.6,0.216,3
2024-10-17 08:27:01,51.508587,-2.562959,108.5,1.4,0.216,3
2024-10-17 08:27:02,51.508583,-2.56296,108.2,0.8,0.217,3
2024-10-17 08:27:03,51.508583,-2.562966,108.2,1.4,0.217,3
2024-10-17 08:27:04,51.508583,-2.562968,108.2,0.7,0.217,3
2024-10-17 08:27:05,51.508587,-2.56297,108.1,0.5,0.217,3
2024-10-17 08:27:06,51.508587,-2.56297,108.1,0,0.217,3
2024-10-17 08:27:07,51.508587,-2.562969,108.1,0,0.217,3
2024-10-17 08:27:08,51.508587,-2.562969,108.1,0,0.217,3
2024-10-17 08:27:09,51.508587,-2.562968,108.1,0,0.217,3
2024-10-17 08:27:10,51.508587,-2.562968,108.1,0,0.217,3
2024-10-17 08:27:11,51.508587,-2.562968,108,0,0.217,3
2024-10-17 08:27:12,51.508587,-2.562971,108,0.7,0.218,3
2024-10-17 08:27:13,51.508587,-2.562972,108,0.5,0.218,3
2024-10-17 08:27:14,51.508587,-2.562973,107.9,0.3,0.218,3
2024-10-17 08:27:15,51.508587,-2.562973,107.9,0,0.218,3
2024-10-17 08:27:16,51.508587,-2.562973,107.9,0.3,0.218,3
2024-10-17 08:27:17,51.508587,-2.562972,107.8,0,0.218,3
2024-10-17 08:27:18,51.508587,-2.562971,107.8,0,0.218,3
2024-10-17 08:27:19,51.508587,-2.562971,107.8,0,0.218,3
2024-10-17 08:27:20,51.508587,-2.56297,107.8,0.3,0.218,3
2024-10-17 08:27:21,51.508587,-2.562969,107.8,0,0.218,3
2024-10-17 08:27:22,51.508587,-2.562969,107.7,0,0.218,3
2024-10-17 08:27:23,51.508587,-2.562968,107.7,0,0.218,3
2024-10-17 08:27:24,51.508587,-2.562969,107.6,0.5,0.218,3
2024-10-17 08:27:25,51.508587,-2.562969,107.9,0.5,0.218,3
2024-10-17 08:27:26,51.508583,-2.562969,107.9,0.3,0.218,3
2024-10-17 08:27:27,51.508583,-2.562967,108,0.3,0.218,3
2024-10-17 08:27:28,51.508583,-2.562967,108,0,0.218,3
2024-10-17 08:27:29,51.508583,-2.562965,108.1,0.5,0.219,3
2024-10-17 08:27:30,51.508583,-2.562964,108.1,0.5,0.219,3
2024-10-17 08:27:31,51.50858,-2.562962,108.1,0,0.219,3
2024-10-17 08:27:32,51.50858,-2.562961,108.1,0,0.219,3
2024-10-17 08:27:33,51.50858,-2.562959,108.1,0.5,0.219,3
2024-10-17 08:27:34,51.50858,-2.562958,108.1,0.3,0.219,3
2024-10-17 08:27:35,51.50858,-2.562958,108.1,0,0.219,3
2024-10-17 08:27:36,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:37,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:38,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:39,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:40,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:41,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:42,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:43,51.50858,-2.562957,108.1,0.3,0.219,3
2024-10-17 08:27:44,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:45,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:46,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:47,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:48,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:49,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:50,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:51,51.50858,-2.562957,108.1,0.3,0.219,3
2024-10-17 08:27:52,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:53,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:54,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:55,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:56,51.50858,-2.562957,108.1,0,0.219,3
2024-10-17 08:27:57,51.50858,-2.562957,108.1,0,0.219,3
