time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-15 13:17:25,51.393898,-2.444418,72.3,0,0,3
2024-10-15 13:17:26,51.393993,-2.444637,71.9,66.5,0.018,3
2024-10-15 13:17:27,51.39409,-2.444858,72.2,67,0.037,3
2024-10-15 13:17:28,51.39419,-2.445072,72.1,67.6,0.056,3
2024-10-15 13:17:29,51.3943,-2.445289,72,69.1,0.075,3
2024-10-15 13:17:30,51.394413,-2.44551,71.7,71.9,0.095,3
2024-10-15 13:17:31,51.394535,-2.445728,71.5,72.7,0.115,3
2024-10-15 13:17:32,51.394653,-2.445944,71.6,72.3,0.135,3
2024-10-15 13:17:33,51.394775,-2.446145,71.8,70,0.155,3
2024-10-15 13:17:34,51.394894,-2.446344,71.3,68.7,0.174,3
2024-10-15 13:17:35,51.395008,-2.446539,70.9,67.1,0.192,3
2024-10-15 13:17:36,51.395123,-2.446728,70.3,65.6,0.211,3
2024-10-15 13:17:37,51.39524,-2.446915,70,65.6,0.229,3
2024-10-15 13:17:38,51.39535,-2.447102,69.7,64.7,0.247,3
2024-10-15 13:17:39,51.39546,-2.447286,69.3,63,0.264,3
2024-10-15 13:17:40,51.39556,-2.447467,69,61.7,0.282,3
2024-10-15 13:17:41,51.395668,-2.447643,68.7,60.7,0.298,3
2024-10-15 13:17:42,51.395767,-2.447811,68.5,57.8,0.314,3
2024-10-15 13:17:43,51.39586,-2.447966,68.4,52.9,0.329,3
2024-10-15 13:17:44,51.39594,-2.448109,68.4,48.9,0.343,3
2024-10-15 13:17:45,51.396023,-2.448243,68.2,47.2,0.356,3
2024-10-15 13:17:46,51.39611,-2.448365,68,45.8,0.369,3
2024-10-15 13:17:47,51.396194,-2.44848,68.2,44.9,0.381,3
2024-10-15 13:17:48,51.396282,-2.448583,68.2,43.7,0.393,3
2024-10-15 13:17:49,51.396374,-2.448677,68.3,42.4,0.405,3
2024-10-15 13:17:50,51.396458,-2.448759,68.5,40.2,0.416,3
2024-10-15 13:17:51,51.39654,-2.448835,68.6,38,0.427,3
2024-10-15 13:17:52,51.39662,-2.448905,68.5,36.8,0.437,3
2024-10-15 13:17:53,51.396706,-2.448967,68.5,36.5,0.447,3
2024-10-15 13:17:54,51.39679,-2.449031,68.5,37.3,0.457,3
2024-10-15 13:17:55,51.396877,-2.449104,68.2,40.5,0.469,3
2024-10-15 13:17:56,51.39697,-2.449169,68.1,40.1,0.48,3
