time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-23 13:33:28,51.505196,-2.489082,98.8,0,0,3
2024-10-23 13:33:29,51.5052,-2.489104,98.8,5.9,0.002,3
2024-10-23 13:33:30,51.50521,-2.489146,98.8,11.4,0.005,3
2024-10-23 13:33:31,51.505222,-2.48922,98.9,19.2,0.01,3
2024-10-23 13:33:32,51.505234,-2.489317,98.9,24.6,0.017,3
2024-10-23 13:33:33,51.50524,-2.489426,98.9,27,0.024,3
2024-10-23 13:33:34,51.505234,-2.48954,98.9,28.7,0.032,3
2024-10-23 13:33:35,51.505215,-2.489664,98.9,31.7,0.041,3
2024-10-23 13:33:36,51.50518,-2.489798,98.8,36.1,0.051,3
2024-10-23 13:33:37,51.505135,-2.489944,98.7,40.7,0.063,3
2024-10-23 13:33:38,51.505096,-2.490087,98.5,38.7,0.073,3
2024-10-23 13:33:39,51.505077,-2.490246,98.6,40.5,0.085,3
2024-10-23 13:33:40,51.50509,-2.490408,98.5,40.5,0.096,3
2024-10-23 13:33:41,51.505135,-2.490563,98.6,42.5,0.108,3
2024-10-23 13:33:42,51.50519,-2.490729,98.6,47,0.121,3
2024-10-23 13:33:43,51.505234,-2.490912,98.4,48.8,0.134,3
2024-10-23 13:33:44,51.505257,-2.491128,98.1,54.8,0.15,3
2024-10-23 13:33:45,51.505257,-2.491377,97.7,62,0.167,3
2024-10-23 13:33:46,51.505234,-2.491627,97.3,63.2,0.184,3
2024-10-23 13:33:47,51.5052,-2.491903,96.9,69.9,0.204,3
2024-10-23 13:33:48,51.50516,-2.492208,96.3,77.8,0.225,3
2024-10-23 13:33:49,51.50512,-2.492529,95.7,81.5,0.248,3
2024-10-23 13:33:50,51.505077,-2.492856,95.2,83.2,0.271,3
2024-10-23 13:33:51,51.50503,-2.4932,94.6,87.6,0.295,3
2024-10-23 13:33:52,51.504986,-2.493554,94.2,90.1,0.32,3
2024-10-23 13:33:53,51.504936,-2.493932,93.6,96.3,0.347,3
2024-10-23 13:33:54,51.504887,-2.494314,93,97.2,0.374,3
2024-10-23 13:33:55,51.50484,-2.49468,92.4,93.2,0.4,3
2024-10-23 13:33:56,51.50479,-2.495059,92,96.3,0.427,3
2024-10-23 13:33:57,51.504745,-2.495412,91.5,89.9,0.452,3
2024-10-23 13:33:58,51.504704,-2.495755,91.1,87.2,0.476,3
2024-10-23 13:33:59,51.50466,-2.496084,90.8,83.7,0.499,3
2024-10-23 13:34:00,51.504616,-2.496417,90.6,84.8,0.523,3
2024-10-23 13:34:01,51.504574,-2.496756,90.5,86.3,0.547,3
2024-10-23 13:34:02,51.50453,-2.497082,90.5,82.8,0.57,3
2024-10-23 13:34:03,51.504486,-2.497408,90.6,83.2,0.593,3
2024-10-23 13:34:04,51.504444,-2.497749,90.8,86.6,0.617,3
2024-10-23 13:34:05,51.5044,-2.498083,90.9,85,0.641,3
2024-10-23 13:34:06,51.504356,-2.498412,91,83.8,0.664,3
2024-10-23 13:34:07,51.504314,-2.498747,91.1,85.5,0.688,3
2024-10-23 13:34:08,51.50427,-2.499084,91.2,85.7,0.711,3
2024-10-23 13:34:09,51.504223,-2.499427,91.3,87.4,0.736,3
2024-10-23 13:34:10,51.50418,-2.499757,91.3,83.8,0.759,3
2024-10-23 13:34:11,51.504135,-2.500098,91.4,87,0.783,3
2024-10-23 13:34:12,51.50409,-2.500452,91.5,90.2,0.808,3
2024-10-23 13:34:13,51.504047,-2.500797,91.6,87.7,0.833,3
2024-10-23 13:34:14,51.504,-2.501137,91.6,86.6,0.857,3
2024-10-23 13:34:15,51.503956,-2.501489,91.5,89.5,0.881,3
2024-10-23 13:34:16,51.503914,-2.501831,91.6,87.2,0.906,3
2024-10-23 13:34:17,51.50387,-2.502173,91.5,87,0.93,3
2024-10-23 13:34:18,51.503822,-2.50251,91.4,85.7,0.954,3
2024-10-23 13:34:19,51.50378,-2.502835,91.3,83,0.977,3
2024-10-23 13:34:20,51.503735,-2.503185,91.3,88.9,1.001,3
2024-10-23 13:34:21,51.503693,-2.503511,91.1,83.1,1.024,3
2024-10-23 13:34:22,51.503647,-2.50385,91,86.5,1.048,3
2024-10-23 13:34:23,51.503597,-2.504184,90.9,85.4,1.072,3
2024-10-23 13:34:24,51.503544,-2.504512,90.8,84.4,1.096,3
2024-10-23 13:34:25,51.503483,-2.504845,90.7,86.4,1.12,3
2024-10-23 13:34:26,51.50342,-2.505171,90.7,85.3,1.143,3
2024-10-23 13:34:27,51.503353,-2.505489,90.6,83.5,1.167,3
2024-10-23 13:34:28,51.503277,-2.505811,90.4,85.5,1.19,3
2024-10-23 13:34:29,51.503204,-2.506104,90.2,78.5,1.212,3
2024-10-23 13:34:30,51.503128,-2.506404,90.1,81,1.235,3
2024-10-23 13:34:31,51.50305,-2.506694,90,78.7,1.256,3
2024-10-23 13:34:32,51.502968,-2.506981,89.8,78.8,1.278,3
2024-10-23 13:34:33,51.502884,-2.507259,89.8,77.1,1.3,3
2024-10-23 13:34:34,51.5028,-2.507518,90,72.7,1.32,3
2024-10-23 13:34:35,51.50272,-2.507754,90,67,1.339,3
2024-10-23 13:34:36,51.502632,-2.50798,90.1,66.1,1.357,3
2024-10-23 13:34:37,51.50255,-2.508181,90.1,60.5,1.374,3
2024-10-23 13:34:38,51.50246,-2.508387,90.3,62.4,1.391,3
2024-10-23 13:34:39,51.502373,-2.50859,90.3,61.1,1.408,3
2024-10-23 13:34:40,51.502293,-2.508788,90.5,59.2,1.425,3
2024-10-23 13:34:41,51.502216,-2.50897,90.7,54.2,1.44,3
2024-10-23 13:34:42,51.502155,-2.509109,90.8,42.4,1.451,3
2024-10-23 13:34:43,51.502106,-2.509211,90.8,33,1.461,3
2024-10-23 13:34:44,51.502068,-2.509276,91,22.5,1.467,3
2024-10-23 13:34:45,51.502045,-2.509309,91,12.4,1.47,3
2024-10-23 13:34:46,51.50203,-2.509327,91.1,7,1.472,3
2024-10-23 13:34:47,51.50202,-2.509337,91.1,3.8,1.473,3
2024-10-23 13:34:48,51.502018,-2.509341,91.1,1.4,1.474,3
2024-10-23 13:34:49,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:50,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:51,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:52,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:53,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:54,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:55,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:56,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:57,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:58,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:34:59,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:35:00,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:35:01,51.502018,-2.509341,91.1,0,1.474,3
2024-10-23 13:35:02,51.502014,-2.509343,91,1,1.474,3
2024-10-23 13:35:03,51.502007,-2.509356,91,5.4,1.475,3
2024-10-23 13:35:04,51.50198,-2.509385,91.1,12.7,1.479,3
2024-10-23 13:35:05,51.501934,-2.509426,91.1,21.4,1.485,3
2024-10-23 13:35:06,51.501877,-2.509463,91,24.1,1.492,3
2024-10-23 13:35:07,51.50181,-2.509498,91.2,29.4,1.5,3
2024-10-23 13:35:08,51.50172,-2.509538,91.2,36.4,1.51,3
2024-10-23 13:35:09,51.50163,-2.509601,91.3,39.8,1.521,3
2024-10-23 13:35:10,51.50154,-2.509695,91.4,41.9,1.533,3
2024-10-23 13:35:11,51.501476,-2.509823,91.6,41.3,1.544,3
2024-10-23 13:35:12,51.501442,-2.509974,91.8,40.1,1.555,3
