time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-16 13:16:02,51.384846,-2.43326,84.3,0,0,3
2024-10-16 13:16:03,51.38489,-2.433194,84.1,25.6,0.007,3
2024-10-16 13:16:04,51.384937,-2.433134,83.8,23.9,0.014,3
2024-10-16 13:16:05,51.384987,-2.433075,83.5,23.8,0.02,3
2024-10-16 13:16:06,51.385036,-2.433015,83.3,25.3,0.027,3
2024-10-16 13:16:07,51.385082,-2.432956,83,23.8,0.034,3
2024-10-16 13:16:08,51.385128,-2.432903,83.1,22.1,0.04,3
2024-10-16 13:16:09,51.385166,-2.432854,83,20.3,0.046,3
2024-10-16 13:16:10,51.38521,-2.432805,82.8,20.2,0.051,3
2024-10-16 13:16:11,51.38525,-2.432755,82.8,21,0.057,3
2024-10-16 13:16:12,51.385292,-2.432707,82.4,20.4,0.063,3
2024-10-16 13:16:13,51.38533,-2.432661,82.2,18.9,0.068,3
2024-10-16 13:16:14,51.38537,-2.432618,82,19.5,0.074,3
2024-10-16 13:16:15,51.385403,-2.432578,81.9,16.6,0.078,3
2024-10-16 13:16:16,51.385433,-2.432547,81.6,13.8,0.082,3
2024-10-16 13:16:17,51.385456,-2.432521,81.4,11.7,0.085,3
2024-10-16 13:16:18,51.385475,-2.432497,81.2,10.3,0.088,3
2024-10-16 13:16:19,51.385498,-2.432472,81.2,10.8,0.091,3
2024-10-16 13:16:20,51.38552,-2.432449,81.1,10.8,0.094,3
2024-10-16 13:16:21,51.385544,-2.432428,81,10.5,0.097,3
2024-10-16 13:16:22,51.38556,-2.432413,81,7.1,0.099,3
2024-10-16 13:16:23,51.385563,-2.432407,81,2.2,0.1,3
2024-10-16 13:16:24,51.385563,-2.432405,80.9,0.8,0.1,3
2024-10-16 13:16:25,51.38556,-2.432404,80.9,1.6,0.1,3
2024-10-16 13:16:26,51.385555,-2.432404,80.7,0.6,0.1,3
2024-10-16 13:16:27,51.385555,-2.432405,80.7,0.7,0.101,3
2024-10-16 13:16:28,51.385555,-2.432405,80.8,0,0.101,3
2024-10-16 13:16:29,51.385555,-2.432405,80.8,0,0.101,3
