time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-02 11:22:15,51.37725,-2.436905,111.8,0,0,1
2024-10-02 11:22:16,51.377167,-2.436451,141.5,118.5,0.033,1
2024-10-02 11:22:19,51.37718,-2.436533,145.7,7,0.039,1
2024-10-02 11:22:20,51.377174,-2.436522,146.6,3.1,0.04,1
2024-10-02 11:22:21,51.377167,-2.436523,147.8,3.4,0.041,1
2024-10-02 11:22:22,51.37717,-2.436534,148.1,3.1,0.041,1
2024-10-02 11:22:23,51.37717,-2.43654,147.9,1.4,0.042,1
2024-10-02 11:22:24,51.37717,-2.436546,148,1.7,0.042,1
2024-10-02 11:22:25,51.37717,-2.436554,147.5,1.9,0.043,1
2024-10-02 11:22:26,51.377163,-2.436575,147,6.1,0.044,1
2024-10-02 11:22:27,51.377163,-2.436577,146.5,0.7,0.045,1
2024-10-02 11:22:28,51.377163,-2.436572,146.8,1.2,0.045,1
2024-10-02 11:22:29,51.37716,-2.436572,147.7,1.8,0.046,1
2024-10-02 11:22:30,51.377155,-2.436565,147.8,2.5,0.046,1
2024-10-02 11:22:31,51.377148,-2.436576,147.9,3.7,0.047,1
2024-10-02 11:22:32,51.377144,-2.436583,148.1,2.5,0.048,1
2024-10-02 11:22:33,51.377136,-2.436593,149.1,3.2,0.049,1
2024-10-02 11:22:34,51.377132,-2.436606,149.9,4.4,0.05,1
2024-10-02 11:22:35,51.37713,-2.436615,150.1,2.6,0.051,1
2024-10-02 11:22:36,51.37713,-2.43662,150.2,1.5,0.051,1
2024-10-02 11:22:37,51.37713,-2.436633,149.9,3.2,0.052,1
2024-10-02 11:22:38,51.37713,-2.436637,150.6,0.9,0.052,1
2024-10-02 11:22:39,51.377125,-2.436639,151.6,0.7,0.053,1
2024-10-02 11:22:40,51.37713,-2.436643,151.9,1.4,0.053,1
2024-10-02 11:22:41,51.37713,-2.436645,151.1,0.7,0.053,1
2024-10-02 11:22:42,51.37713,-2.436651,150.9,1.7,0.054,1
2024-10-02 11:22:43,51.377125,-2.436654,151.1,1,0.054,1
2024-10-02 11:22:44,51.37712,-2.436651,150.9,1.6,0.054,1
2024-10-02 11:22:45,51.377117,-2.436644,150.6,2.4,0.055,1
2024-10-02 11:22:46,51.377117,-2.436639,149.5,1.4,0.055,1
2024-10-02 11:22:47,51.377113,-2.436624,149.4,4,0.056,1
2024-10-02 11:22:48,51.377113,-2.43661,149.8,3.4,0.057,1
2024-10-02 11:22:49,51.377117,-2.436604,149.8,1.7,0.058,1
2024-10-02 11:22:50,51.377117,-2.4366,149.8,1.1,0.058,1
2024-10-02 11:22:51,51.377117,-2.436603,149.8,0.6,0.058,1
2024-10-02 11:22:52,51.377117,-2.436598,149.9,1.3,0.059,1
2024-10-02 11:22:53,51.37712,-2.436599,148.6,0.8,0.059,1
2024-10-02 11:22:54,51.37712,-2.436597,148.4,0.8,0.059,1
2024-10-02 11:22:55,51.37712,-2.436594,147.8,1,0.059,1
2024-10-02 11:22:56,51.377117,-2.43659,146.6,1.2,0.06,1
2024-10-02 11:22:57,51.377117,-2.436588,145.5,0.5,0.06,1
2024-10-02 11:22:58,51.377117,-2.436576,144.5,3.2,0.061,1
2024-10-02 11:22:59,51.377117,-2.436564,143.3,2.8,0.062,1
2024-10-02 11:23:00,51.377117,-2.436553,142.5,2.8,0.062,1
2024-10-02 11:23:01,51.377117,-2.436543,141.1,2.6,0.063,1
2024-10-02 11:23:02,51.377117,-2.436535,139.9,2.1,0.064,1
2024-10-02 11:23:03,51.377113,-2.436528,139,2.5,0.064,1
2024-10-02 11:23:04,51.37711,-2.436525,138,1.2,0.065,1
2024-10-02 11:23:05,51.37711,-2.436516,137.8,2.4,0.065,1
2024-10-02 11:23:06,51.37711,-2.436499,137.4,4.3,0.066,1
2024-10-02 11:23:07,51.377106,-2.436481,136.5,4.3,0.068,1
2024-10-02 11:23:08,51.377106,-2.436465,135.9,4.1,0.069,1
2024-10-02 11:23:09,51.377106,-2.436451,134.5,3.6,0.07,1
2024-10-02 11:23:10,51.377106,-2.436438,133.7,3.3,0.071,1
2024-10-02 11:23:11,51.377106,-2.436424,132.5,3.3,0.072,1
2024-10-02 11:23:12,51.377106,-2.436411,131.5,3.5,0.073,1
2024-10-02 11:23:13,51.377106,-2.436397,130.8,3.4,0.074,1
2024-10-02 11:23:14,51.377106,-2.436383,130.5,3.8,0.075,1
2024-10-02 11:23:15,51.377098,-2.436371,130.4,3.6,0.076,1
2024-10-02 11:23:16,51.37709,-2.436357,129.6,4.3,0.077,1
2024-10-02 11:23:17,51.377087,-2.436347,129,3.7,0.078,1
2024-10-02 11:23:18,51.377075,-2.43634,128.6,3.7,0.079,1
2024-10-02 11:23:19,51.377068,-2.436333,128,4.2,0.08,1
