time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-09 13:02:31,51.37714,-2.436955,98,0,0,1
2024-10-09 13:02:32,51.377132,-2.436874,103,20.3,0.006,1
2024-10-09 13:02:33,51.37713,-2.436823,105.6,12.9,0.009,1
2024-10-09 13:02:34,51.377136,-2.43678,108,11,0.012,1
2024-10-09 13:02:35,51.377136,-2.436715,111.8,16.1,0.017,1
2024-10-09 13:02:36,51.377136,-2.436656,115.7,14.9,0.021,1
2024-10-09 13:02:37,51.377136,-2.436626,117.6,7.5,0.023,1
2024-10-09 13:02:38,51.377136,-2.436598,119.4,7,0.025,1
2024-10-09 13:02:39,51.377136,-2.436577,120.3,5.3,0.026,1
2024-10-09 13:02:40,51.377144,-2.436564,119.3,4,0.028,1
2024-10-09 13:02:41,51.37715,-2.436553,119.2,3.7,0.029,1
2024-10-09 13:02:42,51.37716,-2.436545,118.9,3.3,0.029,1
2024-10-09 13:02:43,51.377167,-2.436538,118.1,3.4,0.03,1
2024-10-09 13:02:44,51.37717,-2.43653,117.5,3.2,0.031,1
2024-10-09 13:02:45,51.377174,-2.436521,117.2,2.9,0.032,1
2024-10-09 13:02:46,51.37718,-2.43651,117,3.1,0.033,1
2024-10-09 13:02:47,51.377182,-2.436498,116.7,3.1,0.034,1
2024-10-09 13:02:48,51.377186,-2.436486,116.7,3.3,0.035,1
2024-10-09 13:02:49,51.37719,-2.436474,116.4,3.3,0.036,1
2024-10-09 13:02:50,51.37719,-2.436463,116,2.9,0.036,1
2024-10-09 13:02:51,51.37719,-2.43645,115.6,3.3,0.037,1
2024-10-09 13:02:52,51.377182,-2.436437,114.7,4.3,0.039,1
2024-10-09 13:02:53,51.37717,-2.436424,115,5,0.04,1
2024-10-09 13:02:54,51.377167,-2.436409,114.4,4.5,0.041,1
2024-10-09 13:02:55,51.37716,-2.436393,114.1,4.5,0.042,1
2024-10-09 13:02:56,51.37715,-2.436374,113.9,5.8,0.044,1
2024-10-09 13:02:57,51.377144,-2.436358,113.5,4.9,0.045,1
2024-10-09 13:02:58,51.37714,-2.436339,113.1,5.3,0.047,1
2024-10-09 13:02:59,51.377132,-2.436321,112.9,5.2,0.048,1
2024-10-09 13:03:00,51.377125,-2.436304,112.9,5.6,0.05,1
2024-10-09 13:03:01,51.377113,-2.436292,112.5,4.9,0.051,1
2024-10-09 13:03:02,51.377106,-2.436281,112.5,4.5,0.052,1
2024-10-09 13:03:03,51.377094,-2.436268,112.4,5.4,0.054,1
2024-10-09 13:03:04,51.377083,-2.436261,112.1,5.4,0.056,1
2024-10-09 13:03:05,51.377068,-2.436256,111.7,6,0.057,1
2024-10-09 13:03:06,51.377052,-2.436254,111.4,6,0.059,1
2024-10-09 13:03:07,51.377037,-2.436256,111.2,6.2,0.061,1
2024-10-09 13:03:08,51.37702,-2.436258,111.1,6.4,0.062,1
2024-10-09 13:03:09,51.377007,-2.436263,111.1,5.9,0.064,1
2024-10-09 13:03:10,51.37699,-2.436268,111,5.4,0.065,1
2024-10-09 13:03:11,51.37698,-2.436274,111.3,5.6,0.067,1
2024-10-09 13:03:12,51.376965,-2.43628,111.4,5.5,0.069,1
2024-10-09 13:03:13,51.376953,-2.43629,111.5,5.8,0.07,1
2024-10-09 13:03:14,51.37694,-2.436298,111.5,5.7,0.072,1
2024-10-09 13:03:15,51.376926,-2.436307,111.8,5.9,0.073,1
2024-10-09 13:03:16,51.37691,-2.436316,112,5.9,0.075,1
2024-10-09 13:03:17,51.3769,-2.43632,111.9,5.3,0.076,1
2024-10-09 13:03:18,51.376884,-2.436326,111.8,5.9,0.078,1
2024-10-09 13:03:19,51.37687,-2.436329,111.3,5.5,0.08,1
2024-10-09 13:03:20,51.376858,-2.436331,111.4,5.4,0.081,1
2024-10-09 13:03:21,51.376842,-2.436327,111.3,5.5,0.083,1
2024-10-09 13:03:22,51.376827,-2.436323,111.1,6.1,0.084,1
2024-10-09 13:03:23,51.376816,-2.436315,110.9,6.2,0.086,1
2024-10-09 13:03:24,51.3768,-2.43631,111.3,5.6,0.088,1
2024-10-09 13:03:25,51.376785,-2.436308,111.3,6.5,0.089,1
2024-10-09 13:03:26,51.37677,-2.436306,111.5,6.4,0.091,1
2024-10-09 13:03:27,51.376755,-2.436302,110.9,6.4,0.093,1
2024-10-09 13:03:28,51.376736,-2.436303,111.1,6.6,0.095,1
2024-10-09 13:03:29,51.37672,-2.436305,110.4,5.6,0.096,1
2024-10-09 13:03:30,51.37671,-2.436313,110.1,5.4,0.098,1
2024-10-09 13:03:31,51.376698,-2.436315,110.4,4.9,0.099,1
2024-10-09 13:03:32,51.376686,-2.43631,110,4.8,0.101,1
2024-10-09 13:03:33,51.376675,-2.436303,109.9,5,0.102,1
2024-10-09 13:03:34,51.376663,-2.436297,109.7,4.8,0.103,1
2024-10-09 13:03:35,51.376656,-2.436288,110.4,4.6,0.105,1
2024-10-09 13:03:36,51.376644,-2.436279,110.5,4.9,0.106,1
2024-10-09 13:03:37,51.376633,-2.436278,110.4,4.4,0.107,1
2024-10-09 13:03:38,51.37662,-2.436278,110.5,4.2,0.108,1
2024-10-09 13:03:39,51.37661,-2.436277,110.2,4.3,0.11,1
2024-10-09 13:03:40,51.3766,-2.436278,110.7,4.8,0.111,1
2024-10-09 13:03:41,51.376583,-2.436281,110.8,5.3,0.112,1
2024-10-09 13:03:42,51.37657,-2.436283,111.4,5.1,0.114,1
2024-10-09 13:03:43,51.37656,-2.436287,111.2,5,0.115,1
2024-10-09 13:03:44,51.37655,-2.436287,111.6,4.5,0.116,1
2024-10-09 13:03:45,51.376534,-2.436291,111.6,5.5,0.118,1
2024-10-09 13:03:46,51.376522,-2.436291,111.7,5.1,0.119,1
2024-10-09 13:03:47,51.37651,-2.436291,112.2,5.4,0.121,1
2024-10-09 13:03:48,51.376495,-2.436291,112.3,5.4,0.122,1
2024-10-09 13:03:49,51.376484,-2.436297,112.6,5.3,0.124,1
2024-10-09 13:03:50,51.376472,-2.436296,113,4.7,0.125,1
2024-10-09 13:03:51,51.376457,-2.436299,112.6,5,0.127,1
2024-10-09 13:03:52,51.376446,-2.4363,112.1,5,0.128,1
2024-10-09 13:03:53,51.376434,-2.436303,112.1,4.9,0.129,1
2024-10-09 13:03:54,51.376423,-2.436308,110.7,4.8,0.131,1
2024-10-09 13:03:55,51.376408,-2.436317,110.2,5.6,0.132,1
2024-10-09 13:03:56,51.376396,-2.436324,109.8,5.9,0.134,1
2024-10-09 13:03:57,51.37638,-2.436327,109.3,5.6,0.135,1
2024-10-09 13:03:58,51.37637,-2.436337,108.7,5.6,0.137,1
2024-10-09 13:03:59,51.376358,-2.436348,108.2,5.5,0.138,1
2024-10-09 13:04:00,51.376343,-2.436354,107.9,5.3,0.14,1
