time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-15 15:53:38,51.542107,-2.486681,92.2,0,0,3
2024-10-15 15:53:39,51.541992,-2.486813,92.4,56.1,0.016,3
2024-10-15 15:53:40,51.54187,-2.486948,92.5,59.1,0.032,3
2024-10-15 15:53:41,51.54175,-2.487079,92.6,58,0.048,3
2024-10-15 15:53:42,51.541634,-2.487207,92.7,57.7,0.064,3
2024-10-15 15:53:43,51.54151,-2.487331,92.7,56.8,0.08,3
2024-10-15 15:53:44,51.541393,-2.487457,92.7,57.6,0.096,3
2024-10-15 15:53:45,51.541275,-2.48758,93.4,55.7,0.111,3
2024-10-15 15:53:46,51.54116,-2.487698,93.3,54.4,0.126,3
2024-10-15 15:53:47,51.541054,-2.487813,93.7,51.7,0.141,3
2024-10-15 15:53:48,51.540943,-2.487931,93.9,53.3,0.156,3
2024-10-15 15:53:49,51.540833,-2.488048,94.1,53.6,0.171,3
2024-10-15 15:53:50,51.540718,-2.488167,94.2,54.2,0.186,3
2024-10-15 15:53:51,51.540604,-2.488285,94.5,54.2,0.201,3
2024-10-15 15:53:52,51.540485,-2.488405,94.5,55.6,0.216,3
2024-10-15 15:53:53,51.54037,-2.488525,94.6,55.2,0.231,3
2024-10-15 15:53:54,51.540253,-2.488647,94.6,56,0.247,3
2024-10-15 15:53:55,51.54013,-2.488766,94.8,56.8,0.263,3
2024-10-15 15:53:56,51.54,-2.488878,94.8,59.5,0.279,3
2024-10-15 15:53:57,51.539864,-2.488968,94.7,58.7,0.296,3
2024-10-15 15:53:58,51.539722,-2.489041,94.8,59.3,0.312,3
2024-10-15 15:53:59,51.53958,-2.489096,94.8,59.5,0.329,3
2024-10-15 15:54:00,51.539433,-2.489147,94.7,60.8,0.345,3
2024-10-15 15:54:01,51.539288,-2.489201,95.2,59.6,0.362,3
2024-10-15 15:54:02,51.539146,-2.489264,95.3,58.5,0.378,3
2024-10-15 15:54:03,51.539005,-2.489344,95.5,58.6,0.395,3
2024-10-15 15:54:04,51.538876,-2.489443,95.5,57.6,0.411,3
2024-10-15 15:54:05,51.538754,-2.489556,95.5,57,0.426,3
2024-10-15 15:54:06,51.53864,-2.489671,95.5,54,0.441,3
2024-10-15 15:54:07,51.538536,-2.48978,95.5,49.7,0.455,3
2024-10-15 15:54:08,51.53844,-2.48988,95.5,44.8,0.468,3
2024-10-15 15:54:09,51.538357,-2.489974,95.6,41.5,0.479,3
2024-10-15 15:54:10,51.538284,-2.490055,95.6,35.2,0.489,3
2024-10-15 15:54:11,51.538223,-2.490123,95.7,29.2,0.497,3
2024-10-15 15:54:12,51.538174,-2.490179,95.9,24.5,0.504,3
2024-10-15 15:54:13,51.538128,-2.490234,96.1,23.3,0.51,3
2024-10-15 15:54:14,51.538082,-2.490284,96.1,21.4,0.516,3
2024-10-15 15:54:15,51.53804,-2.490335,96.2,21.3,0.522,3
2024-10-15 15:54:16,51.538,-2.490383,96.3,20.5,0.528,3
2024-10-15 15:54:17,51.537964,-2.490429,96.3,19.2,0.533,3
2024-10-15 15:54:18,51.53793,-2.490466,96.3,15.4,0.537,3
2024-10-15 15:54:19,51.53791,-2.490492,96.3,10.8,0.54,3
2024-10-15 15:54:20,51.537895,-2.490507,96.3,6.3,0.542,3
2024-10-15 15:54:21,51.53789,-2.490516,96.6,3.1,0.543,3
2024-10-15 15:54:22,51.53789,-2.490518,96.6,0.8,0.543,3
2024-10-15 15:54:23,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:24,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:25,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:26,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:27,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:28,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:29,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:30,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:31,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:32,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:33,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:34,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:35,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:36,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:37,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:38,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:39,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:40,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:41,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:42,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:43,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:44,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:45,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:46,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:47,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:48,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:49,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:50,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:51,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:52,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:53,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:54,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:55,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:56,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:57,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:58,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:54:59,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:55:00,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:55:01,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:55:02,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:55:03,51.537888,-2.490518,96.6,0,0.543,3
2024-10-15 15:55:04,51.53788,-2.490539,97.2,6.6,0.545,3
2024-10-15 15:55:05,51.53786,-2.490562,97.2,9.1,0.548,3
2024-10-15 15:55:06,51.537834,-2.490594,97.2,13,0.551,3
2024-10-15 15:55:07,51.5378,-2.490637,97.3,17.9,0.556,3
2024-10-15 15:55:08,51.537758,-2.490688,97.3,21.4,0.562,3
2024-10-15 15:55:09,51.537712,-2.490741,97.3,22.7,0.568,3
2024-10-15 15:55:10,51.537666,-2.490796,97.4,22.9,0.575,3
2024-10-15 15:55:11,51.53762,-2.490847,97.4,21.5,0.581,3
