time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-18 00:49:46,51.458755,-2.584878,72.9,0,0,1
2024-10-18 00:49:48,51.45875,-2.584887,72.9,1.7,0.001,1
2024-10-18 00:49:49,51.45876,-2.584881,73.1,3.5,0.002,1
2024-10-18 00:49:50,51.45876,-2.584863,71.9,4.7,0.003,1
2024-10-18 00:49:51,51.458767,-2.58483,71.7,8.5,0.005,1
2024-10-18 00:49:52,51.45879,-2.584781,71.8,15.1,0.01,1
2024-10-18 00:49:53,51.458805,-2.584757,72.4,8.6,0.012,1
2024-10-18 00:49:54,51.458836,-2.584749,74.6,11.8,0.015,1
2024-10-18 00:49:55,51.458847,-2.584738,75,5.7,0.017,1
2024-10-18 00:49:56,51.458866,-2.584742,76.6,8,0.019,1
2024-10-18 00:49:57,51.45888,-2.584733,78.1,6.7,0.021,1
2024-10-18 00:49:58,51.458897,-2.58473,78.8,5.3,0.022,1
2024-10-18 00:49:59,51.45891,-2.584727,80.8,6.2,0.024,1
2024-10-18 00:50:00,51.458927,-2.584725,80.8,6.8,0.026,1
2024-10-18 00:50:01,51.458946,-2.584723,80.6,7.3,0.028,1
2024-10-18 00:50:02,51.458965,-2.584722,79.3,7.9,0.03,1
2024-10-18 00:50:03,51.458984,-2.58472,77.8,7.8,0.032,1
2024-10-18 00:50:04,51.459,-2.584717,78,6.2,0.034,1
2024-10-18 00:50:05,51.459015,-2.584714,76.9,5.9,0.036,1
2024-10-18 00:50:06,51.45903,-2.584712,77.4,6.1,0.037,1
2024-10-18 00:50:07,51.45904,-2.584713,76,5,0.039,1
2024-10-18 00:50:08,51.459057,-2.584714,74.9,5.3,0.04,1
2024-10-18 00:50:09,51.45907,-2.584711,73.9,5.5,0.042,1
2024-10-18 00:50:10,51.459084,-2.58471,72.3,5.4,0.043,1
2024-10-18 00:50:11,51.4591,-2.584705,71.1,5.9,0.045,1
2024-10-18 00:50:12,51.459114,-2.584699,69.8,6.3,0.047,1
2024-10-18 00:50:13,51.45913,-2.584692,68.5,6.1,0.048,1
2024-10-18 00:50:14,51.45914,-2.584695,68.4,5.4,0.05,1
2024-10-18 00:50:15,51.459156,-2.584695,67.5,5.8,0.052,1
2024-10-18 00:50:16,51.45917,-2.584689,67.3,5.9,0.053,1
2024-10-18 00:50:17,51.459187,-2.584691,66.9,6.7,0.055,1
2024-10-18 00:50:18,51.4592,-2.584694,66.5,6.5,0.057,1
2024-10-18 00:50:19,51.459217,-2.584701,65.3,6.4,0.059,1
2024-10-18 00:50:20,51.459232,-2.584709,64.5,5.9,0.06,1
2024-10-18 00:50:21,51.459248,-2.584722,63.5,6.5,0.062,1
2024-10-18 00:50:22,51.45926,-2.584736,63.3,6.5,0.064,1
2024-10-18 00:50:23,51.45927,-2.58475,63.1,6.2,0.066,1
2024-10-18 00:50:24,51.459286,-2.584769,63.1,6.7,0.068,1
2024-10-18 00:50:25,51.459297,-2.584788,63.5,6.7,0.069,1
2024-10-18 00:50:26,51.45931,-2.584804,64,6.3,0.071,1
2024-10-18 00:50:27,51.45932,-2.584822,64.2,6.4,0.073,1
2024-10-18 00:50:28,51.45933,-2.58484,64.2,6.7,0.075,1
2024-10-18 00:50:29,51.459347,-2.584859,64.7,6.7,0.077,1
2024-10-18 00:50:30,51.459354,-2.584879,65.1,6.9,0.079,1
2024-10-18 00:50:31,51.459366,-2.584903,65.6,6.6,0.08,1
2024-10-18 00:50:32,51.459366,-2.584927,65.7,6,0.082,1
2024-10-18 00:50:33,51.459366,-2.584951,65.5,6.1,0.084,1
2024-10-18 00:50:34,51.459362,-2.584976,65,6.3,0.085,1
2024-10-18 00:50:35,51.459362,-2.584999,65,5.7,0.087,1
2024-10-18 00:50:36,51.45936,-2.585016,65.2,4.4,0.088,1
2024-10-18 00:50:37,51.45936,-2.585031,65.7,3.7,0.089,1
2024-10-18 00:50:38,51.459362,-2.585052,66.8,5.4,0.091,1
2024-10-18 00:50:39,51.45937,-2.585073,67.2,6,0.092,1
